
TEST1, TEST NOTE
TwoDimensional, 0
FileLocation, 
EnvironmentType, 0
Sides, 5
Color, ff0000
Radius, 10
PickupType, 2
TimeAllotted, 10
PillarColor, 00ff00
HasRecursiveTrial, 0
RecursiveTrialReference, 0
RandomLoc, 0
PickupVisible, 1
Note, 
Target Location, -5, -5
Trial Number, time (seconds), x, y, angle,  EnvironmentType, Sides, targetFound, pickupType, targetX, targetY
, 0.04809957, 0, 0, 203.2217, 0, 5, 0, 2, -5, -5
, 0.07492804, 0, 0, 203.2217, 0, 5, 0, 2, -5, -5
, 0.1081944, 0, 0, 203.2217, 0, 5, 0, 2, -5, -5
, 0.1689765, 0, 0, 203.2217, 0, 5, 0, 2, -5, -5
, 0.2051188, 0, 0, 203.2217, 0, 5, 0, 2, -5, -5
, 0.2400193, 0, 0, 203.2217, 0, 5, 0, 2, -5, -5
, 0.2820393, 0, 0, 203.2217, 0, 5, 0, 2, -5, -5
, 0.3211158, 0, 0, 203.2217, 0, 5, 0, 2, -5, -5
, 0.3682352, 0, 0, 203.2217, 0, 5, 0, 2, -5, -5
, 0.4076157, 0, 0, 203.2217, 0, 5, 0, 2, -5, -5
, 0.4436978, 0, 0, 203.2217, 0, 5, 0, 2, -5, -5
, 0.4819416, 0, 0, 203.2217, 0, 5, 0, 2, -5, -5
, 0.5328038, -0.03060041, -0.07132155, 203.2217, 0, 5, 0, 2, -5, -5
, 0.6015121, -0.1277787, -0.2978188, 203.2217, 0, 5, 0, 2, -5, -5
, 0.6520621, -0.2295007, -0.5349061, 203.2217, 0, 5, 0, 2, -5, -5
, 0.6972814, -0.2295007, -0.5349061, 203.8351, 0, 5, 0, 2, -5, -5
, 0.7733748, -0.2295007, -0.5349061, 206.6044, 0, 5, 0, 2, -5, -5
, 0.8276788, -0.2295007, -0.5349061, 209.4655, 0, 5, 0, 2, -5, -5
, 0.8871698, -0.2295007, -0.5349061, 213.6615, 0, 5, 0, 2, -5, -5
, 0.943311, -0.2295007, -0.5349061, 218.5668, 0, 5, 0, 2, -5, -5
, 0.9988286, -0.2295007, -0.5349061, 222.493, 0, 5, 0, 2, -5, -5
, 1.058531, -0.2295007, -0.5349061, 225.6458, 0, 5, 0, 2, -5, -5
, 1.116512, -0.2295007, -0.5349061, 227.6992, 0, 5, 0, 2, -5, -5
, 1.176881, -0.2295007, -0.5349061, 228.7437, 0, 5, 0, 2, -5, -5
, 1.237136, -0.6824768, -0.9322429, 228.7437, 0, 5, 0, 2, -5, -5
, 1.262263, -0.8713754, -1.097939, 228.7437, 0, 5, 0, 2, -5, -5
, 1.296447, -1.128354, -1.323353, 228.7437, 0, 5, 0, 2, -5, -5
, 1.336343, -1.428282, -1.58644, 228.7437, 0, 5, 0, 2, -5, -5
, 1.375639, -1.723696, -1.845568, 228.7437, 0, 5, 0, 2, -5, -5
, 1.412779, -2.002906, -2.090483, 228.7437, 0, 5, 0, 2, -5, -5
, 1.46057, -2.362185, -2.405632, 228.7437, 0, 5, 0, 2, -5, -5
, 1.511528, -2.686705, -2.690291, 228.7437, 0, 5, 0, 2, -5, -5
, 1.568604, -2.976717, -2.944681, 228.7437, 0, 5, 0, 2, -5, -5
, 1.619955, -3.178172, -3.121391, 228.7437, 0, 5, 0, 2, -5, -5
, 1.664358, -3.307904, -3.235187, 228.7437, 0, 5, 0, 2, -5, -5
, 1.707221, -3.391698, -3.308689, 228.7437, 0, 5, 0, 2, -5, -5
, 1.739952, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 1.811714, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 1.8638, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 1.934275, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 1.992076, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 2.036385, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 2.078907, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 2.121772, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 2.179878, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 2.217342, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 2.257758, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 2.303053, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 2.347106, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 2.37825, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 2.422078, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 2.47475, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 2.535471, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 2.59364, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 2.676619, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 2.771722, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 2.814182, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
, 2.883246, -3.431524, -3.343624, 228.7437, 0, 5, 0, 2, -5, -5
