
TEST1, TEST NOTE
TwoDimensional, 0
FileLocation, 
EnvironmentType, 0
Sides, 5
Color, ff0000
Radius, 10
PickupType, 2
TimeAllotted, 10
PillarColor, 00ff00
HasRecursiveTrial, 0
RecursiveTrialReference, 0
RandomLoc, 0
PickupVisible, 1
Note, 
Target Location, -5, -5
Trial Number, time (seconds), x, y, angle,  EnvironmentType, Sides, targetFound, pickupType, targetX, targetY
, 0.04546907, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.07876623, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.1147508, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.1577283, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.2069535, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.2470991, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.2931481, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.3419002, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.3926705, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.4355151, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.4795849, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.5234485, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.5681025, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.6330397, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.6659759, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.7202705, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.7719632, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.8227347, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.8731505, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.9207296, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 0.9694005, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 1.015194, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 1.060759, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 1.108283, 0, 0, 132.7895, 0, 5, 0, 2, -5, -5
, 1.16494, 0, 0, 133.7524, 0, 5, 0, 2, -5, -5
, 1.247403, 0, 0, 137.1941, 0, 5, 0, 2, -5, -5
, 1.311078, 0, 0, 141.068, 0, 5, 0, 2, -5, -5
, 1.371545, 0, 0, 145.8436, 0, 5, 0, 2, -5, -5
, 1.423937, 0, 0, 150.8049, 0, 5, 0, 2, -5, -5
, 1.473062, 0, 0, 155.7174, 0, 5, 0, 2, -5, -5
, 1.520619, 0, 0, 160.4731, 0, 5, 0, 2, -5, -5
, 1.567684, 0, 0, 165.1796, 0, 5, 0, 2, -5, -5
, 1.617199, 0, 0, 170.1311, 0, 5, 0, 2, -5, -5
, 1.6742, 0, 0, 175.8313, 0, 5, 0, 2, -5, -5
, 1.727757, 0, 0, 181.187, 0, 5, 0, 2, -5, -5
, 1.78243, 0, 0, 186.6543, 0, 5, 0, 2, -5, -5
, 1.834676, 0, 0, 191.8788, 0, 5, 0, 2, -5, -5
, 1.891684, 0, 0, 197.5796, 0, 5, 0, 2, -5, -5
, 1.948259, 0, 0, 203.2371, 0, 5, 0, 2, -5, -5
, 2.004832, 0, 0, 208.8945, 0, 5, 0, 2, -5, -5
, 2.063189, 0, 0, 213.7085, 0, 5, 0, 2, -5, -5
, 2.124374, 0, 0, 217.6327, 0, 5, 0, 2, -5, -5
, 2.181863, 0, 0, 220.3284, 0, 5, 0, 2, -5, -5
, 2.241269, 0, 0, 222.0553, 0, 5, 0, 2, -5, -5
, 2.30458, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 2.362985, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 2.386109, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 2.432724, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 2.472369, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 2.533514, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 2.588938, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 2.643318, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 2.69791, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 2.74664, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 2.801074, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 2.85, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 2.898707, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 2.942418, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 3.018412, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 3.053791, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 3.102361, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 3.150837, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 3.201364, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 3.259528, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 3.303008, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
, 3.370143, 0, 0, 222.6932, 0, 5, 0, 2, -5, -5
